Estado;Código Município;Nome Município;Código Função;Nome Função;Código Subfunção;Nome Subfunção;Código Programa;Nome Programa;Código Ação;Nome Ação;Linguagem Cidadã;Valor
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;303;Suporte Profilático e Terapêutico;1293;Assistência Farmacêutica e Insumos Estratégicos;4705;Apoio para Aquisição e Distribuição de Medicamentos Excepcionais;Excepcionais;63174579,95
RIO DE JANEIRO;0000;Governo do Estado;13;Cultura;392;Difusão Cultural;1142;Engenho das Artes;4796;Fomento a Projetos em Arte e Cultura; ;150000,00
RIO DE JANEIRO;0000;Governo do Estado;14;Direitos da Cidadania;243;Assistência à Criança e ao Adolescente;0670;Proteção a Pessoas Ameaçadas;8806;Serviços de Proteção a Crianças e Adolescentes Ameaçados de Morte - PPCAAM; ;553786,50
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;006F;Apoio a Sistemas de Esgotamento Sanitário em Municípios de Regiões Metropolitanas, de Regiões Integradas de Desenvolvimento Econômico, Municípios com mais de 50 mil Habitantes ou Integrantes de Consórcios Públicos com mais de 150 mil Habitantes; ;122144,17
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;1N08;Apoio a Sistemas de Esgotamento Sanitário em Municípios de Regiões Metropolitanas, de Regiões Integradas de Desenvolvimento Econômico, Municípios com mais de 50 mil Habitantes ou Integrantes de Consórcios Públicos com mais de 150 mil Habitantes; ;765426,85
RIO DE JANEIRO;0000;Governo do Estado;23;Comércio e Serviços;695;Turismo;1166;Turismo Social no Brasil: Uma Viagem de Inclusão;10V0;Apoio a Projetos de Infra-Estrutura Turística; ;414090,00
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0548;Transferências de Cotas-Partes dos Royalties pela Produção de Petróleo e Gás Natural (Lei nº 9.478, de 1997 - Art.48);Royalties;1793766010,74
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;361;Ensino Fundamental;1448;Qualidade na Escola;20CV;Fomento a Estudos e Pesquisas para o Desenvolvimento da Educação Básica; ;78000,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;364;Ensino Superior;1375;Desenvolvimento do Ensino da Pós-Graduação e da Pesquisa Científica;0487;Concessão e Manutenção de Bolsas de Estudos no País;Bolsas de Estudos no País;3075269,96
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;10SC;Apoio a Sistemas de Abastecimento de Água em Municípios de Regiões Metropolitanas, de Regiões Integradas de Desenvolvimento Econômico, Municípios com mais de 50 mil Habitantes ou Integrantes de Consórcios Públicos com mais de 150 mil Habitantes; ;17808041,46
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;572;Desenvolvimento Tecnológico e Engenharia;1388;Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE);7N34;Fomento à Pesquisa e Desenvolvimento em Áreas Básicas e Estratégicas; ;444646,68
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;099B;Transferência a Estados, Distrito Federal e Municípios para Compensação da Isenção do ICMS aos Estados Exportadores - (art. 91 ADCT);Transferências - LC n.º 87/96 e 115/2003;51465638,25
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;8761;Serviço de Atendimento Móvel de Urgência - Samu 192;SAMU;14000000,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;10GE;Implantação e Melhoria de Sistemas Públicos de Esgotamento Sanitário em Municípios de até 50.000 Habitantes, Exclusive de Regiões Metropolitanas ou Regiões Integradas de Desenvolvimento Econômico (RIDE); ;806626,33
RIO DE JANEIRO;0000;Governo do Estado;14;Direitos da Cidadania;422;Direitos Individuais, Coletivos e Difusos;0670;Proteção a Pessoas Ameaçadas;4278;Apoio a Serviços de Assistência e Proteção a Testemunhas Ameaçadas; ;950000,00
RIO DE JANEIRO;0000;Governo do Estado;16;Habitação;482;Habitação Urbana;9991;Habitação de Interesse Social;10SJ;Apoio à Provisão Habitacional de Interesse Social; ;3804435,28
RIO DE JANEIRO;0000;Governo do Estado;16;Habitação;482;Habitação Urbana;9991;Habitação de Interesse Social;8875;Apoio à Elaboração de Planos Habitacionais de Interesse Social; ;37183,04
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;572;Desenvolvimento Tecnológico e Engenharia;1388;Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE);4053;Fomento a Projetos Institucionais para Pesquisa no Setor Aeronáutico (CT-Aeronáutico); ;600320,00
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0046;Cota-Parte dos Estados e DF Exportadores na Arrecadação do IPI (Lei Complementar nº 61, de 1989);Cota-Parte IPI -LC n.º 61;436034055,54
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0551;Transferências do Fundo Especial dos Royalties pela Produção de Petróleo e Gás Natural (Lei nº 7.525, de 1986 - Art.6º);Royalties;2318390,74
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;8933;Serviços de Atenção às Urgências e Emergências na Rede Hospitalar;Urgências;4940000,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;305;Vigilância Epidemiológica;1444;Vigilância, Prevenção e Controle de Doenças e Agravos;20AL;Incentivo Financeiro aos Estados, Distrito Federal e Municípios Certificados para a Vigilância em Saúde;Vigilância em Saúde;16071357,23
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1444;Vigilância, Prevenção e Controle de Doenças e Agravos;20AC;Incentivo Financeiro a Estados, Distrito Federal e Municípios para Ações de Prevenção e Qualificação da Atenção em HIV/AIDS e outras Doenças Sexualmente Transmissíveis;HIV AIDS;2055741,30
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;303;Suporte Profilático e Terapêutico;1291;Segurança Transfusional e Qualidade do Sangue e Hemoderivados;7690;Estruturação dos Serviços de Hematologia e Hemoterapia;Sangue;358172,56
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;847;Transferências para Educação Básica;1448;Qualidade na Escola;0509;Apoio ao Desenvolvimento da Educação Básica;Promed;719749,68
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;1128;Urbanização, Regularização Fundiária e Integração de Assentamentos Precários;10S5;Apoio a Empreendimentos de Saneamento Integrado em Assentamentos Precários em Municípios de Regiões Metropolitanas, de Regiões Integradas de Desenvolvimento Econômico ou Municípios com mais de 150 mil Habitantes; ;120774,73
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;753;Petróleo;1388;Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE);4156;Fomento a Projetos Institucionais para Pesquisa no Setor de Petróleo e Gás Natural (CT-Petro); ;534594,24
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;847;Transferências para Educação Básica;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0369;Cota-Parte dos Estados e DF do Salário-Educação;Cota-parte dos Estados e DF do Salário-Educação;263144428,34
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;5528;SANEAMENTO BÁSICO PARA CONTROLE DE AGRAVOS; ;2864000,00
RIO DE JANEIRO;0000;Governo do Estado;11;Trabalho;333;Empregabilidade;0101;Qualificação Social e Profissional;4728;Qualificação Social e Profissional do Sistema Público de Emprego, Trabalho e Renda e Economia Solidária em base territorial (PLANTEQS); ;933476,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;847;Transferências para Educação Básica;1448;Qualidade na Escola;09CW;Apoio à Reestruturação da Rede Física Pública da Educação Básica;Promed;8835750,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;128;Formação de Recursos Humanos;1436;Aperfeiçoamento do Trabalho e da Educação na Saúde;8541;Educação Profissional, Educação Permanente e Pós-Graduação em Saúde e em Ciência e Tecnologia em Saúde; ;1857672,42
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;8585;Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade;TETO MAC;319131690,01
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0050;Transferências do Imposto sobre Operações Financeiras Incidentes sobre o Ouro - Estados e Distrito Federal (Lei nº 7.766, de 1989);Transferência - IOF - Estados e DF - Lei n.º 7.766;26287,57
RIO DE JANEIRO;0000;Governo do Estado;11;Trabalho;333;Empregabilidade;0099;Integração das Políticas Públicas de Emprego, Trabalho e Renda;2550;Orientação Profissional e Intermediação de Mão-de-Obra; ;1718876,57
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;364;Ensino Superior;1448;Qualidade na Escola;009U;Concessão de Bolsa de Iniciação à Docência - PIBID; ;148500,00
RIO DE JANEIRO;0000;Governo do Estado;13;Cultura;392;Difusão Cultural;1141;Cultura Viva - Arte, Educação e Cidadania;8886;Apoio e Modernização de Espaços Culturais - Pontos de Cultura; ;6000000,00
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;573;Difusão do Conhecimento Científico e Tecnológico;0461;Promoção da Pesquisa e do Desenvolvimento Científico e Tecnológico;4174;Pesquisa em História e Memória do Desenvolvimento Científico e Tecnológico no Museu de Astronomia e Ciências Afins - MAST; ;28702,17
RIO DE JANEIRO;0000;Governo do Estado;22;Indústria;665;Normalização e Qualidade;0390;Metrologia, Qualidade e Avaliação da Conformidade;2023;Avaliação da Conformidade; ;1350000,00
RIO DE JANEIRO;0000;Governo do Estado;26;Transporte;782;Transporte Rodoviário;1458;Vetor Logístico Leste;1K17;Construção de Contorno Rodoviário - Entroncamento BR-040 - Entroncamento BR-116 - Entroncamento BR-101 - Porto de Sepetiba - na BR-493 - no Estado do Rio de Janeiro; ;124952021,00
RIO DE JANEIRO;0000;Governo do Estado;06;Segurança Pública;128;Formação de Recursos Humanos;1127;Sistema Único de Segurança Pública - SUSP;2320;Sistema Integrado de Educação e Valorização Profissional; ;164140,29
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;128;Formação de Recursos Humanos;1436;Aperfeiçoamento do Trabalho e da Educação na Saúde;8612;Formação de Profissionais Técnicos de Saúde e Fortalecimento das Escolas Técnicas/Centros Formadores do SUS;Formação Técnica/ETSUS;1294170,25
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;303;Suporte Profilático e Terapêutico;1293;Assistência Farmacêutica e Insumos Estratégicos;8415;Manutenção e Funcionamento das Farmácias Populares;Manutenção de Farmácias;70000,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;306;Alimentação e Nutrição;1061;Brasil Escolarizado;8744;Apoio à Alimentação Escolar na Educação Básica; ;68764212,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;422;Direitos Individuais, Coletivos e Difusos;1377;Educação para a Diversidade e Cidadania;8751;Apoio à Inserção das Temáticas de Cidadania, Direitos Humanos e Meio Ambiente no Processo Educacional; ;153480,00
RIO DE JANEIRO;0000;Governo do Estado;15;Urbanismo;451;Infra-Estrutura Urbana;1128;Urbanização, Regularização Fundiária e Integração de Assentamentos Precários;10S3;Apoio à Urbanização de Assentamentos Precários; ;123768527,33
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0547;Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º);CFEM;2298231,60
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;847;Transferências para Educação Básica;1061;Brasil Escolarizado;0515;Dinheiro Direto na Escola para a Educação Básica;PDDE;4211,30
RIO DE JANEIRO;0000;Governo do Estado;14;Direitos da Cidadania;422;Direitos Individuais, Coletivos e Difusos;0156;Prevenção e Enfrentamento da Violência contra as Mulheres;2C52;Ampliação e Consolidação da Rede de Serviços Especializados de Atendimento às Mulheres em Situação de Violência; ;496169,80
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;1138;Drenagem Urbana e Controle de Erosão Marítima e Fluvial;10SG;Apoio a Sistemas de Drenagem Urbana Sustentáveis e de Manejo de Águas Pluviais; ;3872930,65
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;20EV;Enfrentamento ao Crack e Outras Drogas; ;244000,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;304;Vigilância Sanitária;1289;Vigilância e Prevenção de Riscos Decorrentes da Produção e do Consumo de Bens e Serviços;20AB;Incentivo Financeiro aos Estados, Distrito Federal e Municípios para Execução de Ações de Vigilância Sanitária;Vigilância Sanitária;2241460,06
RIO DE JANEIRO;0000;Governo do Estado;15;Urbanismo;451;Infra-Estrutura Urbana;9989;Mobilidade Urbana;0590;Apoio a Projetos de Corredores Estruturais de Transporte Coletivo Urbano; ;900226,21
RIO DE JANEIRO;0000;Governo do Estado;16;Habitação;451;Infra-Estrutura Urbana;1128;Urbanização, Regularização Fundiária e Integração de Assentamentos Precários;10S6;Apoio à Melhoria das Condições de Habitabilidade de Assentamentos Precários; ;7255640,00
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;572;Desenvolvimento Tecnológico e Engenharia;0461;Promoção da Pesquisa e do Desenvolvimento Científico e Tecnológico;2095;Fomento a Projetos de Implantação e Recuperação da Infra-Estrutura de Pesquisa das Instituições Públicas (CT-Infra);CT-INFRA;5719299,80
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;572;Desenvolvimento Tecnológico e Engenharia;1388;Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE);8563;Fomento a Projetos Institucionais para Pesquisa no Setor de Transporte Aquaviário e Construção Naval (CT-Aquaviário); ;963690,00
RIO DE JANEIRO;0000;Governo do Estado;20;Agricultura;602;Promoção da Produção Animal;1344;Gestão da Política Aqüícola e Pesqueira;8888;Apoio à Assistência Técnica e Extensão Pesqueira; ;108885,00
RIO DE JANEIRO;0000;Governo do Estado;22;Indústria;665;Normalização e Qualidade;0390;Metrologia, Qualidade e Avaliação da Conformidade;2034;Controle Metrológico; ;11552797,99
RIO DE JANEIRO;0000;Governo do Estado;06;Segurança Pública;422;Direitos Individuais, Coletivos e Difusos;1453;Nacional de Segurança Pública com Cidadania - PRONASCI;20EV;Enfrentamento ao Crack e Outras Drogas; ;489930,82
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;122;Administração Geral;1448;Qualidade na Escola;2272;Gestão e Administração do Programa;GAP;252225,22
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;128;Formação de Recursos Humanos;8034;Nacional de Inclusão de Jovens - ProJovem;86AD;Formação de Profissionais; ;488703,60
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;128;Formação de Recursos Humanos;1061;Brasil Escolarizado;8429;Formação Inicial e Continuada a Distância; ;824495,56
RIO DE JANEIRO;0000;Governo do Estado;19;Ciência e Tecnologia;572;Desenvolvimento Tecnológico e Engenharia;1388;Ciência, Tecnologia e Inovação para a Política Industrial, Tecnológica e de Comércio Exterior (PITCE);4955;Serviços de Tecnologia Industrial Básica e Pesquisa, Desenvolvimento e Engenharia no Instituto Nacional de Tecnologia; ;84033,12
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0044;Fundo de Participação dos Estados e do Distrito Federal - FPE (CF, art.159);FPE- CF art. 159;539683515,87
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0C33;Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB;FUNDEB;207042327,11
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;121;Planejamento e Orçamento;0016;Gestão da Política de Saúde;8619;Aperfeiçoamento, Implementação e Acompanhamento dos Processos de Planejamento e de Avaliação do Ministério da Saúde;Planejamento e Avaliação do MS;338600,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;304;Vigilância Sanitária;1289;Vigilância e Prevenção de Riscos Decorrentes da Produção e do Consumo de Bens e Serviços;8719;Vigilância Sanitária de Produtos, Serviços e Ambientes, Tecidos, Células e Órgãos Humanos;Vigilância Sanitária;3035610,52
RIO DE JANEIRO;0000;Governo do Estado;11;Trabalho;331;Proteção e Benefícios ao Trabalhador;0099;Integração das Políticas Públicas de Emprego, Trabalho e Renda;2633;Habilitação do Trabalhador ao Seguro-Desemprego; ;681789,03
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;366;Educação de Jovens e Adultos;8034;Nacional de Inclusão de Jovens - ProJovem;2A95;Elevação da Escolaridade e Qualificação Profissional - ProJovem Urbano e Campo; ;1111200,00
RIO DE JANEIRO;0000;Governo do Estado;15;Urbanismo;451;Infra-Estrutura Urbana;1138;Drenagem Urbana e Controle de Erosão Marítima e Fluvial;126Z;Implantação do Sistema de Macrodrenagem da Baixada Campista, no Estado do Rio de Janeiro; ;32426065,00
RIO DE JANEIRO;0000;Governo do Estado;20;Agricultura;603;Defesa Sanitária Vegetal;0357;Segurança da Sanidade na Agropecuária;8572;Prevenção, Controle e Erradicação de Pragas dos Vegetais;Prevenção, Controle e Erradicação de Pragas dos Vegetais;312000,00
RIO DE JANEIRO;0000;Governo do Estado;26;Transporte;782;Transporte Rodoviário;0230;Corredor Leste;5789;Construção de Contorno Rodoviário - no Município de Volta Redonda - na BR-393 - no Estado do Rio de Janeiro; ;16150000,00
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0169;Transferências a Estados e Distrito Federal; ;7984346,08
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;12;Educação;847;Transferências para Educação Básica;1061;Brasil Escolarizado;0969;Apoio ao Transporte Escolar na Educação Básica;PNATE;1936,97
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0999;Recursos para a Repartição da Contribuição de Intervenção no Domínio Econômico - CIDE-Combustíveis;CIDE - Combustíveis;78414,04
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;20B0;Atenção Especializada em Saúde Mental;MENTAL;20000,00
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;12;Educação;847;Transferências para Educação Básica;1061;Brasil Escolarizado;0515;Dinheiro Direto na Escola para a Educação Básica;PDDE;216134,60
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;08;Assistência Social;244;Assistência Comunitária;1335;Transferência de Renda com Condicionalidades - Bolsa Família;8446;Serviço de Apoio à Gestão Descentralizada do Programa Bolsa Família;Indice de Gestão Descentralizada - IGD;15359,63
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0547;Transferências de Cotas-Partes da Compensação Financeira pela Exploração de Recursos Minerais (Lei nº 8.001, de 1990 - Art.2º);CFEM;1727,18
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;10;Saúde;303;Suporte Profilático e Terapêutico;1293;Assistência Farmacêutica e Insumos Estratégicos;20AE;Promoção da Assistência Farmacêutica e Insumos Estratégicos na Atenção Básica em Saúde;FARMÁCIA BÁSICA;97420,24
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;10;Saúde;304;Vigilância Sanitária;1289;Vigilância e Prevenção de Riscos Decorrentes da Produção e do Consumo de Bens e Serviços;8719;Vigilância Sanitária de Produtos, Serviços e Ambientes, Tecidos, Células e Órgãos Humanos;Vigilância Sanitária;529,06
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;08;Assistência Social;244;Assistência Comunitária;1335;Transferência de Renda com Condicionalidades - Bolsa Família;8442;Transferência de Renda Diretamente às Famílias em Condição de Pobreza e Extrema Pobreza (Lei nº 10.836, de 2004);Bolsa Família;961368,00
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;13;Cultura;662;Produção Industrial;0169;Brasil, Som e Imagem;4908;Concessão de Prêmio Adicional de Renda a Produtores, Distribuidores e Exibidores; ;29731,32
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;10;Saúde;305;Vigilância Epidemiológica;1444;Vigilância, Prevenção e Controle de Doenças e Agravos;20AL;Incentivo Financeiro aos Estados, Distrito Federal e Municípios Certificados para a Vigilância em Saúde;Vigilância em Saúde;96883,11
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;099B;Transferência a Estados, Distrito Federal e Municípios para Compensação da Isenção do ICMS aos Estados Exportadores - (art. 91 ADCT);Transferências - LC n.º 87/96 e 115/2003;65132,67
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0C33;Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB;FUNDEB;1299263,32
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;28;Encargos Especiais;847;Transferências para Educação Básica;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0369;Cota-Parte dos Estados e DF do Salário-Educação;Cota-parte dos Estados e DF do Salário-Educação;1843390,66
RIO DE JANEIRO;0770;ARMACAO DE BUZIOS;10;Saúde;301;Atenção Básica;1214;Atenção Básica em Saúde;8577;Piso de Atenção Básica Fixo;PAB Fixo;699043,22
